name,profits,marketValue,revenue,industry
China National Materials,123.1,990,8465,Other Industrial Equipment
China National Nuclear Power,401.1,17092,2994,Electric Utilities
China Pacific Insurance,2820.6,37105,39300,Life & Health Insurance
China Power International Development,662.5,3508,3250,Electric Utilities
China Railway Construction,2007.8,21562,92566,Construction Services
China Railway Group,1945.4,25467,96001,Construction Services
China Reinsurance Group,1205.8,11030,13480,Diversified Insurance
China Resources Enterprise,-19.9,5144,22656,Food Retail
China Resources Land,2260.9,17425,13666,Real Estate
China Resources Power,1293.2,8776,9214,Electric Utilities
China Shenhua Energy,2587.3,43089,27251,Diversified Metals & Mining
China Shipbuilding Industry,-58.4,18184,9774,Heavy Equipment
China Southern Airlines,620.1,8406,17695,Airline
China State Construction Engineering,4146.6,25551,135020,Construction Services
China Steel,239.5,11103,8977,Iron & Steel
China Taiping Insurance,785.2,7720,20699,Diversified Insurance
China Telecom,3197,41006,52707,Telecommunications services
China Unicom,1250.8,29052,42953,Telecommunications services
China Vanke,2861.1,27696,31075,Real Estate
China Yangtze Power,1907.9,41777,3892,Electric Utilities
China Zheshang Bank,827,9076,5684,Regional Banks
Chinatrust Financial,1114.7,9137,7889,Regional Banks
Chinese Estates,996.7,4702,199,Real Estate
Chipotle Mexican Grill,475.6,13088,4501,Restaurants
Chongqing Changan Auto,1582.7,8236,10152,Auto & Truck Manufacturers
Chongqing Rural Bank,1150.9,4928,5890,Regional Banks
Chow Tai Fook Jewellery,557.2,7130,8135,Apparel/Accessories
Christian Dior,1704.4,31417,41597,Apparel/Accessories
Chubb,2834,55332,19180,Property & Casualty Insurance
Chubu Electric Power,1331.5,10123,24541,Electric Utilities
Chugoku Bank,210.6,2226,980,Regional Banks
Chugoku Electric Power,224.3,4816,10435,Electric Utilities
Chunghwa Telecom,1348,26532,7300,Telecommunications services
Church & Dwight,410.4,11804,3395,Household/Personal Care
Cielo,1051.2,20629,3330,Business & Personal Services
Cigna,2094,36273,37988,Managed Health Care
Cincinnati Financial,634,10616,5194,Diversified Insurance
Cintas,435.2,9598,4777,Business & Personal Services
Cisco Systems,10333,141654,49589,Communications Equipment
Citic Pacific,5393.3,45380,53764,Iron & Steel
Citic Securities,3161.2,31092,9137,Investment Services
Citigroup,15771,138149,85945,Major Banks
Citizens Financial Group,840,12468,5274,Regional Banks
Citrix Systems,373.9,12765,3340,Software & Programming
City Developments,562.3,6031,2403,Real Estate
Clorox,686,15851,5693,Household/Personal Care
Coach,366.3,11186,4238,Apparel/Footwear Retail
Coal India,2222.7,27317,11789,Diversified Metals & Mining
Coca-Cola,7277,192803,43488,Beverages
Coca-Cola Enterprises,596,11814,7011,Beverages
Coca-Cola HBC,310.6,7283,7038,Beverages
Cognizant Technology,1623.6,36815,12416,Computer Services
Colgate-Palmolive,1384,61609,16034,Household/Personal Care
Coloplast,137.8,16046,2121,Medical Equipment & Supplies
Colruyt,379.8,8456,10361,Food Retail
Columbia Pipeline Group,267.2,10254,1335,Oil & Gas Operations
Comcast,8163,148187,74510,Broadcasting & Cable
Comerica,456,7704,2842,Major Banks
Commercial Bank For Investment & Development Of Vietnam,287.4,2607,2623,Regional Banks
Commercial Bank of Qatar,342,3449,1648,Regional Banks
Commercial International Bank,612.9,5547,2288,Regional Banks
Commerzbank,1177.7,11754,18672,Regional Banks
Commonwealth Bank,6863,99171,33133,Major Banks
Community Health Systems,163,2371,19437,Healthcare Services
Compal Electronics,273.5,2682,26683,Computer Hardware
Companhia Brasileira de Distribuicao,75.1,3440,20691,Food Retail
Compass Group,1342,28878,27165,Restaurants
Computer Sciences,379,4589,10132,Computer Services
ConAgra Foods,-592.8,19455,12915,Food Processing
Concho Resources,64,15032,2436,Oil & Gas Operations
ConocoPhillips,-4428,58971,29447,Oil & Gas Operations
Consolidated Edison,1193,21036,12542,Electric Utilities
Constellation Brands,1054.9,30852,6548,Beverages
Continental,3024.5,43671,43505,Auto & Truck Parts
Continental Resources,-353.7,14395,2589,Oil & Gas Operations
Core-Mark Holding Company,51.5,1777,11069,Trading Companies
Corning,1339,23084,9091,Communications Equipment
Corporacion Geo,1256.7,237,36,Real Estate
Corporation Bank,93.7,629,3440,Regional Banks
Cosmo Energy Holdings,-530.3,1064,20042,Oil & Gas Operations
Costco Wholesale,2309,65820,117269,Discount Stores
Coty,311.2,9948,4267,Household/Personal Care
Couche Tard,1129.4,24482,34114,Food Retail
Country Garden Holdings,1504.2,9121,18069,Real Estate
Credicorp,972.7,11343,4927,Regional Banks
Credit Agricole,3899,29904,38176,Regional Banks
Credit Suisse Group,-3075.1,30280,34844,Investment Services
Credito Emiliano,184.3,2385,1691,Regional Banks
Credito Valtellinese,131.3,844,1300,Regional Banks
Crescent Point Energy,-680.2,8718,1848,Oil & Gas Operations
Crown Castle International,466.7,29621,3698,Telecommunications services
Crown Holdings,428,7545,8657,Containers & Packaging
Ctrip.com International,397,21215,1731,Business & Personal Services
Cullen/Frost Bankers,278.4,3824,1077,Regional Banks
Cummins,1399,19779,19104,Heavy Equipment
DBS Group,3238.7,29338,9852,Regional Banks
DCC,208.8,7757,15687,Conglomerates
DGB Financial Group,259.9,1383,2638,Regional Banks
DIA,331.8,3542,9898,Discount Stores
DISH Network,747.1,23124,15069,Broadcasting & Cable
DNB,3021.2,21068,9528,Regional Banks
DP World,882.9,15770,4043,Other Transportation
DR Horton,765.9,11515,10938,Construction Services
DSM,97.6,10290,8563,Diversified Chemicals
